amenities,address,phone,id,target,scraped
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"12900 N. Wintzell Ave. Bayou La Batre, AL 36509",251-824-3692# 6017,6017,FALSE,2021-11-20
,"4889 Promenade Pkwy Bessemer, AL 35022",,17439,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"901 9th Avenue, N Bessemer, AL 35020",205-426-1664# 4830,4830,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2901 Morgan Rd. Bessemer, AL 35022",205-425-1837# 4964,4964,FALSE,2021-11-20
,"4616 Highway 280 Birmingham, AL 35242",,16898,TRUE,2021-11-20
,"1654 Gadsden Hwy Birmingham, AL 35235",,16899,TRUE,2021-11-20
,"5561 Grove Blvd Birmingham, AL 35226",,17547,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"220 Gadsden Highway, Off I-59 At Roebuck Parkway Birmingham, AL 35235",205-836-8344# 4825,4825,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|UPS Access Point,"7501 1st Avenue N. Birmingham, AL 35206",205-833-2972# 4859,4859,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"105 Inverness Plaza Hwy 280 Birmingham, AL 35242",205-991-5201# 4864,4864,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|UPS Access Point,"632 Tuscaloosa Avenue Birmingham, AL 35211",205-781-8495# 4871,4871,FALSE,2021-11-20
Accepts SNAP|UPS Access Point,"1431 11th Avenue So. Birmingham, AL 35205",205-933-8374# 4873,4873,FALSE,2021-11-20
Accepts SNAP|UPS Access Point,"2228 Bessemer Road Birmingham, AL 35208",205-787-4608# 4898,4898,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1675 Montclair Rd. Birmingham, AL 35210",205-592-2424# 4936,4936,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"5705 Chalkville Rd. Birmingham, AL 35235",205-854-8055# 4948,4948,FALSE,2021-11-20
Accepts SNAP|Photo & Passport|UPS Access Point,"3303 Clairmont Avenue S Birmingham, AL 35222",205-322-3055# 4951,4951,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"8370 Hwy 31 Calera, AL 35040",205-668-0588# 467,467,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"7 Camden Bypass Camden, AL 36726",334-682-2900# 4973,4973,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2000 Center Point Pkwy Center Point, AL 35215",205-853-8001# 4912,4912,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"101 Chestnut Bypass Centre, AL 35960",256-927-4346# 4863,4863,FALSE,2021-11-20
Accepts SNAP|UPS Access Point,"155 Birmingham Road Suite 114 Centreville, AL 35042",205-926-4654# 4897,4897,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"32815 Us Hwy 280 Childersburg, AL 35044",256-378-5534# 4861,4861,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"19215 North 3rd St. Citronelle, AL 36522",251-866-9605# 7668,7668,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1105 7th St., North Clanton, AL 35045",205-755-4336# 4893,4893,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"227 West College St. Columbiana, AL 35051",205-669-3153# 4866,4866,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1906 Cherokee Ave Sw Cullman, AL 35055",256-775-8778# 10416,10416,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"610 2nd Avenue Nw Cullman, AL 35055",256-739-4601# 4902,4902,FALSE,2021-11-20
,"1698 Us Highway 98 Daphne, AL 36526",,16621,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"27040 Hwy 98 Daphne, AL 36526",251-621-9096# 4959,4959,FALSE,2021-11-20
,"1235 Point Mallard Parkway Se Decatur, AL 35601",,17172,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"812 Beltline Rd Decatur, AL 35601",256-355-8465# 4844,4844,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"312 Hwy 80 East Demopolis, AL 36732",334-289-3657# 4957,4957,FALSE,2021-11-20
,"4601 Montgomery Hwy Ste 300 Dothan, AL 36303",,16800,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1955 East Main Street Dothan, AL 36301",334-794-7798# 4878,4878,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1270 West Main Street Dothan, AL 36301",334-793-2372# 4919,4919,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"5730 W. Main St. Dothan, AL 36305",334-673-2850# 7179,7179,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"850 Boll Weevil Circle Enterprise, AL 36330",334-347-9949# 10076,10076,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"210 W Front St Evergreen, AL 36401",251-578-1811# 4847,4847,FALSE,2021-11-20
Accepts SNAP|Photo & Passport|UPS Access Point,"51 S Greeno Rd. Fairhope, AL 36532",251-928-3125# 4945,4945,FALSE,2021-11-20
,"372 Cox Creek Pkwy Florence, AL 35630",,16663,TRUE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1501 Florence Blvd Florence, AL 35630",256-767-0520# 4817,4817,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1002 Cox Creek Pkwy. Florence, AL 35633",256-766-2125# 4925,4925,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1300 South Mckenzie St Foley, AL 36535",251-943-6614# 1806,1806,FALSE,2021-11-20
,"3489 Lowery Pkwy Fultondale, AL 35068",,17419,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1535 Decatur Hwy., Corner Of Walkers Chapel Road Fultondale, AL 35068",205-849-9744# 4882,4882,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"806 Hoke St., Corner Of Meighan Boulevard Gadsden, AL 35903",256-492-4807# 4845,4845,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2608 W. Meighan Blvd Gadsden, AL 35904",256-543-9709# 4849,4849,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"205 Fieldstown Rd, Gardendale, AL 35071",205-631-5638# 4833,4833,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|UPS Access Point,"536 Hudson Dr., Po Box 653 Gordo, AL 35466",205-364-7133# 4969,4969,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"10115 Grand Bay Wilmer Rd. South Grand Bay, AL 36541",251-865-6128# 4782,4782,FALSE,2021-11-20
Accepts SNAP|Photo & Passport|UPS Access Point,"675 Tuscaloosa Street Greensboro, AL 36744",334-624-8874# 4917,4917,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"879 Fort Dale Rd. Greenville, AL 36037",334-382-3146# 4953,4953,FALSE,2021-11-20
,"3820 Gulf Shores Pkwy Gulf Shores, AL 36542",,17236,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1445 Gunter Avenue Guntersville, AL 35976",256-505-0803# 4968,4968,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1901 11th Ave. Haleyville, AL 35565",205-486-9202# 4822,4822,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"303 North Main St. Hanceville, AL 35077",256-352-5779# 4960,4960,FALSE,2021-11-20
Accepts SNAP,"240 Hwy 31 Southwest Suite #11 Hartselle, AL 35640",256-773-1768# 4905,4905,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"5859 Highway 53 Harvest, AL 35749",256-851-5350# 10516,10516,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|UPS Access Point,"4685 Hwy 17 Helena, AL 35080",205-620-1618# 4965,4965,FALSE,2021-11-20
,"531 Brookwood Village Homewood, AL 35209",,17642,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"418 West Valley Ave Homewood, AL 35209",205-942-7503# 4829,4829,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3030 Independence Dr. Homewood, AL 35209",205-871-9672# 4904,4904,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"5400 Hwy 280 Hoover, AL 35242",205-980-7670# 10181,10181,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2301 John Hawkins Pkwy Hoover, AL 35244",205-682-1065# 2662,2662,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1881 Chace Rd. Hoover, AL 35244",205-987-7286# 4889,4889,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2201 Tyler Rd. Hoover, AL 35226",205-823-1832# 4913,4913,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3022 Allison Bonnett Dr Hueytown, AL 35023",205-744-0071# 4828,4828,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"11030 South Memorial Pkwy. Huntsville, AL 35803",256-650-1543# 10037,10037,FALSE,2021-11-20
,"6275 University Dr Nw Huntsville, AL 35806",,16685,TRUE,2021-11-20
,"2750 Carl T Jones Dr Se Ste 7 Huntsville, AL 35802",,16706,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"100 Providence Main St., #g Huntsville, AL 35806",256-837-2057# 1774,1774,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"930 Winchester Rd. Huntsville, AL 35811",256-852-1915# 2748,2748,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2001 Cecil Ashburn Drive Se Huntsville, AL 35802",256-880-1470# 4881,4881,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2212 Whitesburg Dr Huntsville, AL 35801",256-533-6181# 4899,4899,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2525 Oakwood Ave, Northwest Huntsville, AL 35810",256-533-5754# 4908,4908,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2210 Winchester Rd. Huntsville, AL 35811",256-858-8595# 5413,5413,FALSE,2021-11-20
Accepts SNAP|UPS Access Point,"813 College Ave. Jackson, AL 36545",251-246-6634# 4868,4868,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1001 Pelham Rd., South Jacksonville, AL 36265",256-435-2095# 4907,4907,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"101 N Airport Rd., North Jasper, AL 35504",205-387-0572# 4834,4834,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"10 Veterans Memorial Parkway, Corner Of Highway 29 And 50 Lanett, AL 36863",334-644-2807# 4975,4975,FALSE,2021-11-20
Accepts SNAP|UPS Access Point,"7596 Parkway Dr., Se Leeds, AL 35094",205-699-2288# 4840,4840,FALSE,2021-11-20
,"8207 Highway 72 W Madison, AL 35758",,17652,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"8503 Old Madison Pike Madison, AL 35758",256-461-7799# 4884,4884,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"8470 Hwy 72 West Madison, AL 35758",256-837-3362# 7155,7155,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"4736 Eastern Valley Rd. Mccalla, AL 35111",205-477-8049# 7215,7215,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"12275 Hwy 231 431n Meridianville, AL 35759",256-828-8550# 5316,5316,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"604 Bessemer Super Hwy. Midfield, AL 35228",205-925-0278# 4832,4832,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3680 Hwy 14 Millbrook, AL 36054",334-285-3041# 4909,4909,FALSE,2021-11-20
COVID Testing|Drive-Thru Pharmacy|Photo & Passport,"4645 Airport Blvd Mobile, AL 36608",251-266-7944# 11016,11016,FALSE,2021-11-20
,"3201 Airport Blvd., Unit 1 Mobile, AL 36606",,16248,TRUE,2021-11-20
,"790 Schillinger Rd S Mobile, AL 36695",,16715,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3932 Cottage Hill Rd. Mobile, AL 36609",251-661-1190# 1814,1814,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"7081 Airport Rd Mobile, AL 36608",251-342-0948# 2567,2567,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"900 Government St. Mobile, AL 36604",251-432-8320# 2675,2675,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|UPS Access Point,"4881 Schillinger Rd. Mobile, AL 36619",251-661-6305# 4818,4818,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|UPS Access Point,"2280 Mlk Blvd. Mobile, AL 36610",251-471-6229# 4877,4877,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport,"4453 Old Shell Rd., Corner Of Mcgregeor Mobile, AL 36608",251-344-9770# 4888,4888,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2550 Dauphin St. Mobile, AL 36606",251-471-1573# 4900,4900,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3100 Dauphin Island Pkwy Mobile, AL 36605",251-471-2591# 4903,4903,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1401 Hillcrest Rd. Mobile, AL 36695",251-633-7298# 7671,7671,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"7101 Cottage Hill Rd Mobile, AL 36695",251-631-3623# 8362,8362,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"700 Main St. Montevallo, AL 35115",205-665-1004# 7112,7112,FALSE,2021-11-20
,"2576 Berryhill Rd Montgomery, AL 36117",,16946,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"6891 Vaughn Road Montgomery, AL 36116",334-396-8671# 3095,3095,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3190 Zelda Rd. Montgomery, AL 36106",334-261-1071# 4856,4856,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"6990 Atlanta Hwy., And Taylor Road Montgomery, AL 36117",334-271-5861# 4869,4869,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3465 Atlanta Hwy., Coliseum Boulevard Montgomery, AL 36109",334-277-8840# 4894,4894,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3000 Rosa L. Parks Ave. Montgomery, AL 36105",334-263-0225# 4895,4895,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"4240 Narrow Lane Road Montgomery, AL 36111",334-284-3298# 4906,4906,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"4790 Mobile Hwy Montgomery, AL 36108",334-281-4119# 4947,4947,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1525 Forest Avenue Montgomery, AL 36106",334-263-9272# 4970,4970,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"55 Ray Thorington Rd. Montgomery, AL 36117",334-215-4381# 7063,7063,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2828 Moody Parkway Moody, AL 35004",205-640-7166# 4967,4967,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"11648 Al Hwy. 157 Moulton, AL 35650",256-974-5291# 4931,4931,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"93 Euclid Avenue Mountain Brook, AL 35213",205-871-2151# 2505,2505,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1715 Woodward Ave., Muscle Shoals, AL 35661",256-381-7641# 4901,4901,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"4280 Mitt Lary Rd. Northport, AL 35475",205-339-0415# 4372,4372,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1910 Mcfarland Boulevard Northport, AL 35476",205-339-3819# 4835,4835,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"602 1st Avenue East Oneonta, AL 35121",205-625-6420# 4854,4854,FALSE,2021-11-20
,"2640 Enterprise Dr Opelika, AL 36801",,16830,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1997 Pepperell Pkwy. Opelika, AL 36801",334-749-6558# 4949,4949,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"25761 Perdido Beach Blvd. Orange Beach, AL 36561",251-974-1590# 2899,2899,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"825 Quintard Dr. Oxford, AL 36203",256-835-6766# 10207,10207,FALSE,2021-11-20
,"400 Oxford Exchange Blvd Oxford, AL 36203",,17235,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"176 Andrews Ave. Ozark, AL 36360",334-774-2654# 4826,4826,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"100 Huntley Pkwy. Pelham, AL 35124",205-685-0146# 4667,4667,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2738 U.s. Highway 31 South Pelham, AL 35124",205-663-4581# 4814,4814,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"118 Comer Avenue Pell City, AL 35125",205-338-2628# 4839,4839,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"5405 Summerville Rd Phenix City, AL 36867",334-214-4508# 1824,1824,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2514 Crawford Road Phenix City, AL 36867",334-297-6498# 4934,4934,FALSE,2021-11-20
Accepts SNAP|Photo & Passport|UPS Access Point,"145 U.s. Hwy. 278 East By-pass Piedmont, AL 36272",256-447-6133# 4956,4956,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"9505 Vaughn Road, Pike Road Pike Road, AL 36064",334-277-1153# 585,585,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"6665 Hwy 75 Pinson, AL 35126",205-681-9250# 4926,4926,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"108 Park Rd, Corner Of Pleasant Grove Road Pleasant Grove, AL 35127",205-744-1021# 4916,4916,FALSE,2021-11-20
,"2754 Legends Pkwy Prattville, AL 36066",,17348,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"708 E. Main St. Prattville, AL 36067",334-365-0661# 4838,4838,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1904 Cobbs Ford Rd. Prattville, AL 36066",334-365-7606# 4944,4944,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"3403 Rainbow Dr. Rainbow City, AL 35906",256-442-4582# 4823,4823,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"21975 Hwy 59 Robertsdale, AL 36567",251-947-8602# 1822,1822,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"14695 Hwy 43 Russellville, AL 35653",256-332-2869# 78,78,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"24 Saraland Blvd., N, Saraland, AL 36571",251-675-2747# 10575,10575,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"801 S. Broad St. Scottsboro, AL 35768",256-259-2832# 6013,6013,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"520 Highland Ave Selma, AL 36701",334-875-5530# 4853,4853,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"9151 Moffett Road Semmes, AL 36575",251-649-2206# 4883,4883,FALSE,2021-11-20
Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"9917-a Spanish Fort Blvd. Spanish Fort, AL 36527",251-626-3113# 10898,10898,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"2 N. Broadway Ave. Sylacauga, AL 35150",256-249-4962# 4915,4915,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"410 East Battle St. Talladega, AL 35160",256-362-0163# 4842,4842,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"10 Gilmer Ave. Tallassee, AL 36078",334-283-3637# 4943,4943,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"100 Us Hwy 231 Troy, AL 36081",334-566-9324# 4858,4858,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"315 Main St. Trussville, AL 35173",205-655-8804# 4891,4891,FALSE,2021-11-20
Photo & Passport|UPS Access Point,"1218 University Blvd. Tuscaloosa, AL 35401",205-349-2660# 10811,10811,FALSE,2021-11-20
,"1901 13th Ave E Tuscaloosa, AL 35404",,16910,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"8700 Hwy 69 South Tuscaloosa, AL 35405",205-342-1401# 3004,3004,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"4260 University Blvd East Tuscaloosa, AL 35404",205-556-3031# 4813,4813,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"808 Veterans Memorial Drive Tuscaloosa, AL 35404",205-345-0531# 4819,4819,FALSE,2021-11-20
