address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"5561 Grove Blvd Birmingham, AL 35226",33.361835,-86.852846,1,rooftop,5561,"Grove Blvd",,,Hoover,AL,"Jefferson County",35226,US,Jefferson
"220 Gadsden Highway, Off I-59 At Roebuck Parkway Birmingham, AL 35235",33.589096,-86.696602,1,rooftop,220,"Gadsden Hwy",,"I 59",Birmingham,AL,"Jefferson County",35235,US,Jefferson
"7501 1st Avenue N. Birmingham, AL 35206",33.559241,-86.730326,1,rooftop,7501,"1st Ave N",,,Birmingham,AL,"Jefferson County",35206,US,Jefferson
"105 Inverness Plaza Hwy 280 Birmingham, AL 35242",33.419344,-86.695601,1,rooftop,105,"Inverness Plz",,,Birmingham,AL,"Shelby County",35242,US,Shelby
"632 Tuscaloosa Avenue Birmingham, AL 35211",33.499664,-86.843301,1,range_interpolation,632,"Tuscaloosa Ave",,,Birmingham,AL,"Jefferson County",35211,US,"TIGER/Line® dataset from the US Census Bureau"
"1431 11th Avenue So. Birmingham, AL 35205",33.496754,-86.803744,0.9,rooftop,1431,"11th Ave S",,,Birmingham,AL,"Jefferson County",35205,US,Jefferson
"2228 Bessemer Road Birmingham, AL 35208",33.49632,-86.877815,1,range_interpolation,2228,"Bessemer Rd",,,Birmingham,AL,"Jefferson County",35208,US,"TIGER/Line® dataset from the US Census Bureau"
"1675 Montclair Rd. Birmingham, AL 35210",33.526367,-86.718763,1,rooftop,1675,"Montclair Rd",,,Irondale,AL,"Jefferson County",35210,US,Jefferson
"5705 Chalkville Rd. Birmingham, AL 35235",33.648218,-86.634065,1,rooftop,5705,"Chalkville Rd",,,Birmingham,AL,"Jefferson County",35235,US,Jefferson
"3303 Clairmont Avenue S Birmingham, AL 35222",33.51256,-86.780161,1,range_interpolation,3303,"Clairmont Ave S",,,Birmingham,AL,"Jefferson County",35222,US,"TIGER/Line® dataset from the US Census Bureau"
"8370 Hwy 31 Calera, AL 35040",33.101513,-86.753746,1,rooftop,8370,"Hwy 31",,,Calera,AL,"Shelby County",35040,US,Shelby
"7 Camden Bypass Camden, AL 36726",32.001664,-87.284402,1,range_interpolation,7,"Camden Byp",,,Camden,AL,"Wilcox County",36726,US,"TIGER/Line® dataset from the US Census Bureau"
"2000 Center Point Pkwy Center Point, AL 35215",33.638689,-86.684118,1,rooftop,2000,"Center Point Pkwy",,,Birmingham,AL,"Jefferson County",35215,US,Jefferson
"101 Chestnut Bypass Centre, AL 35960",34.110859,-85.590218,0.33,place,,,,,Centre,AL,"Cherokee County",35960,US,"TIGER/Line® dataset from the US Census Bureau"
"155 Birmingham Road Suite 114 Centreville, AL 35042",32.947185,-87.14401,0.9,range_interpolation,155,"Birmingham Rd",Ste,114,Centreville,AL,"Bibb County",35042,US,"TIGER/Line® dataset from the US Census Bureau"
"32815 Us Hwy 280 Childersburg, AL 35044",33.276212,-86.358461,1,range_interpolation,32815,"US Hwy 280",,,Childersburg,AL,"Talladega County",35044,US,"TIGER/Line® dataset from the US Census Bureau"
"19215 North 3rd St. Citronelle, AL 36522",31.099982,-88.238214,1,range_interpolation,19215,"N 3rd St",,,Citronelle,AL,"Mobile County",36522,US,"TIGER/Line® dataset from the US Census Bureau"
"1105 7th St., North Clanton, AL 35045",32.823948,-86.618207,0.76,range_interpolation,1105,"7th St S",,,Clanton,AL,"Chilton County",35045,US,"TIGER/Line® dataset from the US Census Bureau"
"227 West College St. Columbiana, AL 35051",33.17947,-86.614644,1,rooftop,227,"W College St",,,Columbiana,AL,"Shelby County",35051,US,Shelby
"1906 Cherokee Ave Sw Cullman, AL 35055",34.150845,-86.844389,1,rooftop,1906,"Cherokee Ave SW",,,Cullman,AL,"Cullman County",35055,US,Cullman
"610 2nd Avenue Nw Cullman, AL 35055",34.181988,-86.847178,1,rooftop,610,"2nd Ave NW",,,Cullman,AL,"Cullman County",35055,US,Cullman
"1698 Us Highway 98 Daphne, AL 36526",30.60244,-87.896268,1,rooftop,1698,"US Hwy 98",,,Daphne,AL,"Baldwin County",36526,US,Baldwin
"27040 Hwy 98 Daphne, AL 36526",30.619399,-87.904392,0.82,nearest_rooftop_match,27080,"US Hwy 98",,,Daphne,AL,"Baldwin County",36526,US,Baldwin
"1235 Point Mallard Parkway Se Decatur, AL 35601",34.560601,-86.970894,1,rooftop,1235,"Point Mallard Pkwy",,,Decatur,AL,"Morgan County",35601,US,Morgan
"812 Beltline Rd Decatur, AL 35601",34.560774,-86.999678,0.9,rooftop,812,"Beltline Rd SW",,,Decatur,AL,"Morgan County",35601,US,Morgan
"312 Hwy 80 East Demopolis, AL 36732",32.50162,-87.841946,0.62,nearest_rooftop_match,400,"W Hwy 80",,,Demopolis,AL,"Marengo County",36732,US,Marengo
"4601 Montgomery Hwy Ste 300 Dothan, AL 36303",31.266519,-85.446391,1,rooftop,4601,"Montgomery Hwy",Ste,300,Dothan,AL,"Houston County",36303,US,Houston
"1955 East Main Street Dothan, AL 36301",31.217218,-85.361828,1,rooftop,1955,"E Main St",,,Dothan,AL,"Houston County",36301,US,Houston
"1270 West Main Street Dothan, AL 36301",31.226812,-85.408528,1,range_interpolation,1270,"W Main St",,,Dothan,AL,"Houston County",36301,US,"TIGER/Line® dataset from the US Census Bureau"
"5730 W. Main St. Dothan, AL 36305",31.240798,-85.480258,1,rooftop,5730,"W Main St",,,Dothan,AL,"Houston County",36305,US,Houston
"850 Boll Weevil Circle Enterprise, AL 36330",31.334655,-85.858276,1,range_interpolation,850,"Boll Weevil Cir",,,Enterprise,AL,"Coffee County",36330,US,"TIGER/Line® dataset from the US Census Bureau"
"210 W Front St Evergreen, AL 36401",31.437609,-86.951412,0.9,range_interpolation,210,"W Front St",,,Evergreen,AL,"Conecuh County",36401,US,"TIGER/Line® dataset from the US Census Bureau"
"51 S Greeno Rd. Fairhope, AL 36532",30.524381,-87.886759,0.8,rooftop,51,"Greeno Rd N",,,Fairhope,AL,"Baldwin County",36532,US,Baldwin
"372 Cox Creek Pkwy Florence, AL 35630",34.841472,-87.634692,1,rooftop,372,"Cox Creek Pkwy",,,Florence,AL,"Lauderdale County",35630,US,Lauderdale
"1501 Florence Blvd Florence, AL 35630",34.820726,-87.655756,1,rooftop,1501,"Florence Blvd",,,Florence,AL,"Lauderdale County",35630,US,Lauderdale
"1002 Cox Creek Pkwy. Florence, AL 35633",34.840165,-87.688776,1,rooftop,1002,"Cox Creek Pkwy",,,Florence,AL,"Lauderdale County",35633,US,Lauderdale
"1300 South Mckenzie St Foley, AL 36535",30.391599,-87.684569,1,rooftop,1300,"McKenzie St S",,,Foley,AL,"Baldwin County",36535,US,Baldwin
"3489 Lowery Pkwy Fultondale, AL 35068",33.606139,-86.806038,1,rooftop,3489,"Lowery Pkwy",,,Fultondale,AL,"Jefferson County",35068,US,Jefferson
"1535 Decatur Hwy., Corner Of Walkers Chapel Road Fultondale, AL 35068",33.609574,-86.796152,1,rooftop,1535,"Decatur Hwy",,,Fultondale,AL,"Jefferson County",35068,US,Jefferson
"806 Hoke St., Corner Of Meighan Boulevard Gadsden, AL 35903",34.003047,-85.96961,1,rooftop,806,"Hoke St",,,Gadsden,AL,"Etowah County",35903,US,Etowah
"2608 W. Meighan Blvd Gadsden, AL 35904",34.022436,-86.044992,1,rooftop,2608,"W Meighan Blvd",,,Gadsden,AL,"Etowah County",35904,US,Etowah
"205 Fieldstown Rd, Gardendale, AL 35071",33.651339,-86.811947,1,rooftop,205,"Fieldstown Rd",,,Gardendale,AL,"Jefferson County",35071,US,Jefferson
"536 Hudson Dr., Po Box 653 Gordo, AL 35466",33.051396,-88.28708,0.56,street_center,,"Hudson Dr",,653,Aliceville,AL,"Pickens County",35442,US,"TIGER/Line® dataset from the US Census Bureau"
"10115 Grand Bay Wilmer Rd. South Grand Bay, AL 36541",30.48118,-88.339859,0.95,range_interpolation,10115,"Grand Bay Wilmer Rd",,,"Grand Bay",AL,"Mobile County",36541,US,"TIGER/Line® dataset from the US Census Bureau"
"675 Tuscaloosa Street Greensboro, AL 36744",32.710815,-87.595583,0.6,street_center,,"State Rte 69",,,Greensboro,AL,"Hale County",36744,US,"TIGER/Line® dataset from the US Census Bureau"
"879 Fort Dale Rd. Greenville, AL 36037",31.796729,-86.596233,0.33,place,,,,,Greenville,AL,"Butler County",36037,US,"TIGER/Line® dataset from the US Census Bureau"
"3820 Gulf Shores Pkwy Gulf Shores, AL 36542",30.303829,-87.680472,1,rooftop,3820,"Gulf Shores Pkwy",,,"Gulf Shores",AL,"Baldwin County",36542,US,Baldwin
"1445 Gunter Avenue Guntersville, AL 35976",34.345048,-86.304165,1,rooftop,1445,"Gunter Ave",,,Guntersville,AL,"Marshall County",35976,US,Marshall
"1901 11th Ave. Haleyville, AL 35565",34.217422,-87.620821,1,range_interpolation,1901,"11th Ave",,,Haleyville,AL,"Winston County",35565,US,"TIGER/Line® dataset from the US Census Bureau"
"303 North Main St. Hanceville, AL 35077",34.05618,-86.765438,1,range_interpolation,303,"State Rte 3",,,Hanceville,AL,"Cullman County",35077,US,"TIGER/Line® dataset from the US Census Bureau"
"240 Hwy 31 Southwest Suite #11 Hartselle, AL 35640",34.440665,-86.940699,1,rooftop,240,"Hwy 31 S",Ste,11,Hartselle,AL,"Morgan County",35640,US,Morgan
"5859 Highway 53 Harvest, AL 35749",34.845457,-86.712505,1,rooftop,5859,"AL 53 Hwy",,,Harvest,AL,"Madison County",35749,US,Madison
"4685 Hwy 17 Helena, AL 35080",33.280843,-86.851829,1,rooftop,4685,"Hwy 17",,,Helena,AL,"Shelby County",35080,US,Shelby
"531 Brookwood Village Homewood, AL 35209",33.467051,-86.775222,1,rooftop,531,"Brookwood Vlg",,,Birmingham,AL,"Jefferson County",35209,US,Jefferson
"418 West Valley Ave Homewood, AL 35209",33.471161,-86.825179,1,rooftop,418,"W Valley Ave",,,Birmingham,AL,"Jefferson County",35209,US,Jefferson
"3030 Independence Dr. Homewood, AL 35209",33.477935,-86.787742,1,rooftop,3030,"Independence Dr",,,Birmingham,AL,"Jefferson County",35209,US,Jefferson
"5400 Hwy 280 Hoover, AL 35242",33.418312,-86.671429,1,rooftop,5400,"Hwy 280",,,Hoover,AL,"Shelby County",35242,US,Shelby
"2301 John Hawkins Pkwy Hoover, AL 35244",33.349851,-86.868184,0.87,rooftop,2301,"John Hawkins Pkwy",,,Birmingham,AL,"Jefferson County",35226,US,Jefferson
"1881 Chace Rd. Hoover, AL 35244",33.369851,-86.800147,0.8,rooftop,1881,"Chace Dr",,,Hoover,AL,"Jefferson County",35244,US,Jefferson
"2201 Tyler Rd. Hoover, AL 35226",33.416483,-86.842046,1,rooftop,2201,"Tyler Rd",,,Hoover,AL,"Jefferson County",35226,US,Jefferson
"3022 Allison Bonnett Dr Hueytown, AL 35023",33.45189,-86.978431,0.79,nearest_rooftop_match,3016,"Allison Bonnett Memori Dr",,,Bessemer,AL,"Jefferson County",35023,US,Jefferson
"11030 South Memorial Pkwy. Huntsville, AL 35803",34.630057,-86.56792,1,rooftop,11030,"Memorial Pkwy SW",,,Huntsville,AL,"Madison County",35803,US,Madison
"6275 University Dr Nw Huntsville, AL 35806",34.744933,-86.683543,1,rooftop,6275,"University Dr NW",,,Huntsville,AL,"Madison County",35806,US,Madison
"2750 Carl T Jones Dr Se Ste 7 Huntsville, AL 35802",34.6733,-86.542409,1,rooftop,2750,"Carl T Jones Dr SE",Ste,7,Huntsville,AL,"Madison County",35802,US,"City of Huntsville"
"100 Providence Main St., #g Huntsville, AL 35806",34.750033,-86.694089,0.9,rooftop,100,"Providence Main St NW",Ste,G,Huntsville,AL,"Madison County",35806,US,"City of Huntsville"
"930 Winchester Rd. Huntsville, AL 35811",34.797364,-86.536828,0.9,rooftop,930,"Winchester Rd NE",,,Huntsville,AL,"Madison County",35811,US,Madison
"2001 Cecil Ashburn Drive Se Huntsville, AL 35802",34.672527,-86.538574,1,rooftop,2001,"Cecil Ashburn Dr SE",,,Huntsville,AL,"Madison County",35802,US,Madison
"2212 Whitesburg Dr Huntsville, AL 35801",34.716604,-86.577927,0.9,rooftop,2212,"Whitesburg Dr SW",,,Huntsville,AL,"Madison County",35801,US,Madison
"2525 Oakwood Ave, Northwest Huntsville, AL 35810",34.748875,-86.609306,1,rooftop,2525,"Oakwood Ave NW",,,Huntsville,AL,"Madison County",35810,US,"City of Huntsville"
"2210 Winchester Rd. Huntsville, AL 35811",34.816951,-86.492157,0.9,rooftop,2210,"Winchester Rd NE",,,Huntsville,AL,"Madison County",35811,US,Madison
"813 College Ave. Jackson, AL 36545",31.519504,-87.895547,0.9,range_interpolation,813,"College Ave",,,Jackson,AL,"Clarke County",36545,US,"TIGER/Line® dataset from the US Census Bureau"
"1001 Pelham Rd., South Jacksonville, AL 36265",33.803581,-85.762087,1,rooftop,1001,"Pelham Rd S",,,Jacksonville,AL,"Calhoun County",36265,US,Calhoun
"101 N Airport Rd., North Jasper, AL 35504",33.854273,-87.265122,1,range_interpolation,101,"N Airport Rd",,,Jasper,AL,"Walker County",35504,US,"TIGER/Line® dataset from the US Census Bureau"
"10 Veterans Memorial Parkway, Corner Of Highway 29 And 50 Lanett, AL 36863",32.855333,-85.192279,1,range_interpolation,10,"Veterans Memorial Pkwy",,50,Lanett,AL,"Chambers County",36863,US,"TIGER/Line® dataset from the US Census Bureau"
"7596 Parkway Dr., Se Leeds, AL 35094",33.547338,-86.551228,0.95,rooftop,7596,"Parkway Dr",,,Leeds,AL,"Jefferson County",35094,US,Jefferson
"8207 Highway 72 W Madison, AL 35758",34.750474,-86.75965,0.9,range_interpolation,8207,"US Hwy 72",,,Madison,AL,"Madison County",35758,US,"TIGER/Line® dataset from the US Census Bureau"
"8503 Old Madison Pike Madison, AL 35758",34.706306,-86.741424,0.7,rooftop,8503,"Old Madison Pke",,,Madison,AL,"Madison County",35758,US,Madison
"8470 Hwy 72 West Madison, AL 35758",34.74892,-86.768308,1,range_interpolation,8470,"US Hwy 72",,,Madison,AL,"Madison County",35758,US,"TIGER/Line® dataset from the US Census Bureau"
"4736 Eastern Valley Rd. Mccalla, AL 35111",33.330427,-86.998938,1,rooftop,4736,"Eastern Valley Rd",,,"Mc Calla",AL,"Jefferson County",35111,US,Jefferson
"12275 Hwy 231 431n Meridianville, AL 35759",34.870099,-86.571016,0.9,range_interpolation,12275,"US Hwy 231",,431N,Meridianville,AL,"Madison County",35759,US,"TIGER/Line® dataset from the US Census Bureau"
"604 Bessemer Super Hwy. Midfield, AL 35228",33.464209,-86.911479,1,rooftop,604,"Bessemer Super Hwy",,,Birmingham,AL,"Jefferson County",35228,US,Jefferson
"3680 Hwy 14 Millbrook, AL 36054",32.515834,-86.376088,1,rooftop,3680,"Hwy 14",,,Millbrook,AL,"Elmore County",36054,US,Elmore
"4645 Airport Blvd Mobile, AL 36608",30.675356,-88.169619,1,rooftop,4645,"Airport Blvd",,,Mobile,AL,"Mobile County",36608,US,"City of Mobile"
"3201 Airport Blvd., Unit 1 Mobile, AL 36606",30.670987,-88.120523,1,rooftop,3201,"Airport Blvd",Unit,F1,Mobile,AL,"Mobile County",36606,US,"City of Mobile"
"790 Schillinger Rd S Mobile, AL 36695",30.67401,-88.228748,1,rooftop,790,"Schillinger Rd S",,,Mobile,AL,"Mobile County",36695,US,"City of Mobile"
"3932 Cottage Hill Rd. Mobile, AL 36609",30.653755,-88.139409,1,rooftop,3932,"Cottage Hill Rd",,,Mobile,AL,"Mobile County",36609,US,"City of Mobile"
"7081 Airport Rd Mobile, AL 36608",30.685096,-88.207016,1,rooftop,7081,"Airport Blvd",,,Mobile,AL,"Mobile County",36608,US,"City of Mobile"
"900 Government St. Mobile, AL 36604",30.686496,-88.054428,1,rooftop,900,"Government St",,,Mobile,AL,"Mobile County",36604,US,"City of Mobile"
"4881 Schillinger Rd. Mobile, AL 36619",30.58944,-88.224395,0.9,rooftop,4881,"Schillinger Rd S",,,Mobile,AL,"Mobile County",36619,US,"City of Mobile"
"2280 Mlk Blvd. Mobile, AL 36610",30.717433,-88.082224,0.99,rooftop,2280,"Martin Luther King Jr Ave",,,Mobile,AL,"Mobile County",36617,US,"City of Mobile"
"4453 Old Shell Rd., Corner Of Mcgregeor Mobile, AL 36608",30.696167,-88.144704,1,rooftop,4453,"Old Shell Rd",,,Mobile,AL,"Mobile County",36608,US,"City of Mobile"
"2550 Dauphin St. Mobile, AL 36606",30.688178,-88.100741,1,rooftop,2550,"Dauphin St",,,Mobile,AL,"Mobile County",36606,US,"City of Mobile"
"3100 Dauphin Island Pkwy Mobile, AL 36605",30.608048,-88.075865,1,rooftop,3100,"Dauphin Island Pkwy",,,Mobile,AL,"Mobile County",36605,US,"City of Mobile"
"1401 Hillcrest Rd. Mobile, AL 36695",30.660687,-88.190015,1,rooftop,1401,"Hillcrest Rd",,,Mobile,AL,"Mobile County",36695,US,"City of Mobile"
"7101 Cottage Hill Rd Mobile, AL 36695",30.63914,-88.20846,1,rooftop,7101,"Cottage Hill Rd",,,Mobile,AL,"Mobile County",36695,US,"City of Mobile"
"700 Main St. Montevallo, AL 35115",33.100176,-86.862403,1,rooftop,700,"Main St",,,Montevallo,AL,"Shelby County",35115,US,Shelby
"2576 Berryhill Rd Montgomery, AL 36117",32.360524,-86.160024,1,rooftop,2576,"Berryhill Rd",,,Montgomery,AL,"Montgomery County",36117,US,Montgomery
"6891 Vaughn Road Montgomery, AL 36116",32.340141,-86.196382,1,rooftop,6891,"Vaughn Rd",,,Montgomery,AL,"Montgomery County",36116,US,Montgomery
"3190 Zelda Rd. Montgomery, AL 36106",32.352849,-86.264089,1,rooftop,3190,"Zelda Rd",,,Montgomery,AL,"Montgomery County",36106,US,Montgomery
"6990 Atlanta Hwy., And Taylor Road Montgomery, AL 36117",32.382003,-86.174127,1,rooftop,6990,"Atlanta Hwy",,,Montgomery,AL,"Montgomery County",36117,US,Montgomery
"3465 Atlanta Hwy., Coliseum Boulevard Montgomery, AL 36109",32.38601,-86.256891,1,rooftop,3465,"Atlanta Hwy",,,Montgomery,AL,"Montgomery County",36109,US,Montgomery
"3000 Rosa L. Parks Ave. Montgomery, AL 36105",32.351269,-86.317118,1,rooftop,3000,"Rosa L Parks Ave",,,Montgomery,AL,"Montgomery County",36105,US,Montgomery
"4240 Narrow Lane Road Montgomery, AL 36111",32.327536,-86.282533,1,rooftop,4240,"Narrow Lane Rd",,,Montgomery,AL,"Montgomery County",36111,US,Montgomery
"4790 Mobile Hwy Montgomery, AL 36108",32.308451,-86.350331,1,rooftop,4790,"Mobile Hwy",,,Montgomery,AL,"Montgomery County",36108,US,Montgomery
"1525 Forest Avenue Montgomery, AL 36106",32.363901,-86.285836,1,rooftop,1525,"Forest Ave",,,Montgomery,AL,"Montgomery County",36106,US,Montgomery
"55 Ray Thorington Rd. Montgomery, AL 36117",32.338068,-86.161618,1,rooftop,55,"Ray Thorington Rd",,,Montgomery,AL,"Montgomery County",36117,US,Montgomery
"2828 Moody Parkway Moody, AL 35004",33.590501,-86.495151,1,rooftop,2828,"Moody Pkwy",,,Moody,AL,"St. Clair County",35004,US,"St Clair"
"11648 Al Hwy. 157 Moulton, AL 35650",34.475157,-87.26945,0.6,street_center,,"Al Hwy 157",,,Moulton,AL,"Lawrence County",35650,US,"TIGER/Line® dataset from the US Census Bureau"
"93 Euclid Avenue Mountain Brook, AL 35213",33.50262,-86.757362,1,rooftop,93,"Euclid Ave",,,"Mountain Brk",AL,"Jefferson County",35213,US,Jefferson
"1715 Woodward Ave., Muscle Shoals, AL 35661",34.74535,-87.666946,1,rooftop,1715,"Woodward Ave",,,"Muscle Shoals",AL,"Colbert County",35661,US,Colbert
"4280 Mitt Lary Rd. Northport, AL 35475",33.227356,-87.63988,0.6,street_center,,"Mitt Lary Rd",,,Northport,AL,"Tuscaloosa County",35476,US,"TIGER/Line® dataset from the US Census Bureau"
"1910 Mcfarland Boulevard Northport, AL 35476",33.239749,-87.57715,0.9,rooftop,1910,"McFarland Blvd",,,Tuscaloosa,AL,"Tuscaloosa County",35406,US,Tuscaloosa
"602 1st Avenue East Oneonta, AL 35121",33.949262,-86.468816,0.6,street_center,,"1st Ave E",,,Oneonta,AL,"Blount County",35121,US,"TIGER/Line® dataset from the US Census Bureau"
"2640 Enterprise Dr Opelika, AL 36801",32.622199,-85.409776,0.6,street_center,,"Enterprise Dr",,,Opelika,AL,"Lee County",36801,US,"TIGER/Line® dataset from the US Census Bureau"
"1997 Pepperell Pkwy. Opelika, AL 36801",32.637942,-85.403874,1,range_interpolation,1997,"Pepperell Pkwy",,,Opelika,AL,"Lee County",36801,US,"TIGER/Line® dataset from the US Census Bureau"
"25761 Perdido Beach Blvd. Orange Beach, AL 36561",30.269339,-87.586745,0.9,range_interpolation,25761,"Perdido Beach Blvd",,,"Orange Beach",AL,"Baldwin County",36561,US,"TIGER/Line® dataset from the US Census Bureau"
"825 Quintard Dr. Oxford, AL 36203",33.6108,-85.826687,1,rooftop,825,"Quintard Dr",,,Oxford,AL,"Calhoun County",36203,US,Calhoun
"400 Oxford Exchange Blvd Oxford, AL 36203",33.610453,-85.783992,0.8,nearest_rooftop_match,401,"Oxford Exchange Blvd",,,Oxford,AL,"Calhoun County",36203,US,Calhoun
"176 Andrews Ave. Ozark, AL 36360",31.453234,-85.649691,0.6,street_center,,"Andrews Ave",,,Ozark,AL,"Dale County",36360,US,"TIGER/Line® dataset from the US Census Bureau"
"100 Huntley Pkwy. Pelham, AL 35124",33.27742,-86.794909,1,rooftop,100,"Huntley Pkwy",,,Pelham,AL,"Shelby County",35124,US,Shelby
"2738 U.s. Highway 31 South Pelham, AL 35124",33.312821,-86.802445,1,rooftop,2738,"Pelham Pkwy",,,Pelham,AL,"Shelby County",35124,US,Shelby
"118 Comer Avenue Pell City, AL 35125",33.589134,-86.281544,1,rooftop,118,"Comer Ave",,,"Pell City",AL,"St. Clair County",35125,US,"St Clair"
"5405 Summerville Rd Phenix City, AL 36867",32.520048,-85.028802,1,range_interpolation,5405,"Summerville Rd",,,"Phenix City",AL,"Lee County",36867,US,"TIGER/Line® dataset from the US Census Bureau"
"2514 Crawford Road Phenix City, AL 36867",32.4752,-85.026983,1,range_interpolation,2514,"Crawford Rd",,,"Phenix City",AL,"Russell County",36867,US,"TIGER/Line® dataset from the US Census Bureau"
"145 U.s. Hwy. 278 East By-pass Piedmont, AL 36272",33.932631,-85.611465,1,rooftop,145,"US Hwy 278th Byp E",,,Piedmont,AL,"Calhoun County",36272,US,Calhoun
"9505 Vaughn Road, Pike Road Pike Road, AL 36064",32.347012,-86.094031,1,range_interpolation,9505,"Vaughn Rd",,,"Pike Road",AL,"Montgomery County",36064,US,"TIGER/Line® dataset from the US Census Bureau"
"6665 Hwy 75 Pinson, AL 35126",33.696944,-86.679226,1,rooftop,6665,"Highway 75",,,Pinson,AL,"Jefferson County",35126,US,Jefferson
"108 Park Rd, Corner Of Pleasant Grove Road Pleasant Grove, AL 35127",33.491296,-86.959098,1,rooftop,108,"Park Rd",,,"Pleasant Grove",AL,"Jefferson County",35127,US,Jefferson
"2754 Legends Pkwy Prattville, AL 36066",32.457423,-86.395983,1,rooftop,2754,"Legends Pkwy",,,Prattville,AL,"Elmore County",36066,US,Elmore
"708 E. Main St. Prattville, AL 36067",32.459901,-86.456402,1,range_interpolation,708,"E Main St",,,Prattville,AL,"Autauga County",36067,US,"TIGER/Line® dataset from the US Census Bureau"
"1904 Cobbs Ford Rd. Prattville, AL 36066",32.46034,-86.4181,1,range_interpolation,1904,"Cobbs Ford Rd",,,Prattville,AL,"Autauga County",36066,US,"TIGER/Line® dataset from the US Census Bureau"
"3403 Rainbow Dr. Rainbow City, AL 35906",33.957215,-86.039979,1,rooftop,3403,"Rainbow Dr",,,"Rainbow City",AL,"Etowah County",35906,US,Etowah
